source,source_system,source_module,record_id,record_number,record_type,record_subtype,record_category,record_status,opened_date,filed_date,issued_date,expiration_date,completed_date,closed_date,updated_date,event_date,event_date_type,first_observed_date,snapshot_date,last_observed_date,historical_reconstruction,temporal_evidence,description,work_description,address,street_number,street_name,city,state,postal_code,parcel_id,property_id,valuation,estimated_cost,owner_name,applicant_name,contractor_name,contractor_license,parent_record_number,related_record_numbers,latitude,longitude,source_url,retrieved_at,raw_source_file
City of Tampa,Accela Citizen Access,Building,acc-422196003d75336c8b01,BLD-26-0527734,Residential Miscellaneous Permit,,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,3743 Binnacle Dr T 33611,3743,Binnacle Dr T 33611,,,33611,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-7464f173fe97900ed3a7,BLD-26-0527735,Commercial Miscellaneous Permit,,,Awaiting Client Reply,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,11309 N 50th St 1 T 33617,11309,N 50th St 1 T 33617,,,11309,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-30ce8b3975ab4db88115,BLD-26-0527736,Commercial Building Alterations (Renovations),,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,867 Seddon Cove Way T 33602,867,Seddon Cove Way T 33602,,,33602,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-a1fce57243effaf61f2c,BLD-26-0527737,Residential Miscellaneous Permit,,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4302 W Robin Ln T 33609,4302,W Robin Ln T 33609,,,33609,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-b68a01739a95d498b9ec,BLD-26-0527738,Commercial Building Alterations (Renovations),,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,306 E Jackson St T 33602,306,E Jackson St T 33602,,,33602,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-bc8d89ccf39ad90bff14,BLD-26-0527739,Residential New Construction and Additions (1 and 2 Family),,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,5503 N 15th St T 33610,5503,N 15th St T 33610,,,33610,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-cb052a55b2daed08828e,BLD-26-0527740,Residential Miscellaneous Permit,,,Awaiting Client Reply,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,2807 N 29th St T 33605,2807,N 29th St T 33605,,,33605,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-f59bef88c610ed9088fd,BLD-26-0527741,Residential Pool Permit,,,In Process,2026-08-31,,,2027-02-27,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,575 Bosphorous Ave T 33606,575,Bosphorous Ave T 33606,,,33606,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-ef020de5d618b1ef1218,BLD-26-0527742,Residential Building Alterations (Renovations),,,Awaiting Client Reply,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,208 E Lambright St T 33604,208,E Lambright St T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-5de014e2ab28de0dc3da,BLD-26-0527743,Commercial Building Alterations (Renovations),,,Awaiting Client Reply,2026-08-31,,,2027-03-06,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,11315 N 30th St T 33612,11315,N 30th St T 33612,,,11315,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
